acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.10	0.80	0.09	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.10	0.80	0.35	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.10	0.80	0.07	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.10	0.80	0.12	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.20	0.70	0.09	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.20	0.70	0.28	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.20	0.70	0.06	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.20	0.70	0.11	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.30	0.60	0.10	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.30	0.60	0.21	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.30	0.60	0.05	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.30	0.60	0.08	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.40	0.50	0.04	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.40	0.50	0.19	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.40	0.50	0.04	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.40	0.50	0.03	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.50	0.40	0.10	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.50	0.40	0.11	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.50	0.40	0.09	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.50	0.40	0.08	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.60	0.30	0.07	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.60	0.30	0.14	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.60	0.30	0.08	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.60	0.30	0.06	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.70	0.20	0.07	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.70	0.20	0.17	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.70	0.20	0.09	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.70	0.20	0.06	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.80	0.10	0.06	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.80	0.10	0.09	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.80	0.10	0.12	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.80	0.10	0.07	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.10	0.90	0.00	0.07	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.10	0.90	0.00	0.08	0.00	
acoustic	MMD	1	dirichlet	0.09	0.11	0.80	0.09	0.77	0.14	0.81	0.10	0.09	0.10	0.90	0.00	0.10	0.00	
acoustic	MMD	1	ashwin	0.12	0.07	0.82	0.06	0.82	0.11	0.83	0.00	0.17	0.10	0.90	0.00	0.07	0.00	
acoustic	MMD	1	laplace	0.04	0.13	0.83	0.09	0.83	0.08	0.76	0.13	0.11	0.20	0.10	0.70	0.04	0.00	
acoustic	MMD	1	gaussian	0.09	0.02	0.89	0.12	0.82	0.06	0.72	0.21	0.07	0.20	0.10	0.70	0.26	0.00	
